2014-05-09 00:00:00 -0400	jadzia	Event Steward
2014-05-09 00:00:00 -0400	aelkiss	Event Steward
2012-05-12 04:00:00 -0400	jadzia	Event Steward
2013-05-18 04:00:00 -0400	jadzia	Event Steward
2014-05-09 00:00:00 -0400	ermenrich	Event Steward
2014-05-09 00:00:00 -0400	kasha	Event Steward
2014-05-09 00:00:00 -0400	arina	Tavern Steward
2014-05-09 00:00:00 -0400	aelkiss	Lodging Coordinator
2013-05-18 04:00:00 -0400	aelkiss	Lodging Coordinator
2013-05-18 04:00:00 -0400	aelkiss	Deputy Event Steward
2013-05-18 04:00:00 -0400	arina	Tavern Steward
2012-05-12 04:00:00 -0400	aelkiss	Deputy Event Steward
2015-04-25 00:00:00 -0400	jadzia	Event Steward
2015-04-25 00:00:00 -0400	aelkiss	Event Steward
2016-04-30 00:00:00 -0400	jadzia	Event Steward
2016-04-30 00:00:00 -0400	aelkiss	Event Steward
